Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Input,32x32x3,3.103,1.551,0.776
Conv1,32x32x64,66.191,33.096,16.548
Pool1,16x16x64,16.548,8.274,4.137
Conv2,16x16x192,49.644,24.822,12.411
Pool2,8x8x192,12.411,6.205,3.103
Conv3,8x8x384,24.822,12.411,6.205
Conv4,8x8x256,16.548,8.274,4.137
Conv5,8x8x256,16.548,8.274,4.137
Pool3,4x4x256,4.137,2.068,1.034
Flatten,1x1x4096,4.137,2.068,1.034
FC1,1x1x512,0.517,0.259,0.129
FC2,1x1x10,0.01,0.005,0.003
Total,-,214.616,107.307,53.654
