Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Input,32x32x3,92.959,46.479,23.24
Conv1,32x32x64,1983.119,991.56,495.78
Pool1,16x16x64,495.78,247.89,123.945
Conv2,16x16x192,1487.34,743.67,371.835
Pool2,8x8x192,371.835,185.917,92.959
Conv3,8x8x384,743.67,371.835,185.917
Conv4,8x8x256,495.78,247.89,123.945
Conv5,8x8x256,495.78,247.89,123.945
Pool3,4x4x256,123.945,61.972,30.986
Flatten,1x1x4096,123.945,61.972,30.986
FC1,1x1x512,15.493,7.747,3.873
FC2,1x1x10,0.303,0.151,0.076
Total,-,6429.949,3214.973,1607.487
