Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Input,32x32x3,122.911,61.455,30.728
Conv1,32x32x64,2622.095,1311.048,655.524
Pool1,16x16x64,655.524,327.762,163.881
Conv2,16x16x192,1966.572,983.286,491.643
Pool2,8x8x192,491.643,245.821,122.911
Conv3,8x8x384,983.286,491.643,245.821
Conv4,8x8x256,655.524,327.762,163.881
Conv5,8x8x256,655.524,327.762,163.881
Pool3,4x4x256,163.881,81.94,40.97
Flatten,1x1x4096,163.881,81.94,40.97
FC1,1x1x512,20.485,10.243,5.121
FC2,1x1x10,0.4,0.2,0.1
Total,-,8501.726,4250.862,2125.431
