Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Conv2d_2584665184896,112x112x64,24293.212,12146.606,6073.303
MaxPool2d_2584156222224,56x56x64,6073.303,3036.652,1518.326
Conv2d_2584156222176,56x56x64,6073.303,3036.652,1518.326
Conv2d_2584672471360,56x56x64,6073.303,3036.652,1518.326
Conv2d_2584672470112,56x56x64,6073.303,3036.652,1518.326
Conv2d_2584672471552,56x56x64,6073.303,3036.652,1518.326
Conv2d_2584672470256,28x28x128,3036.652,1518.326,759.163
Conv2d_2584672471168,28x28x128,3036.652,1518.326,759.163
Conv2d_2584672471648,28x28x128,3036.652,1518.326,759.163
Conv2d_2584672471936,28x28x128,3036.652,1518.326,759.163
Conv2d_2584672472128,28x28x128,3036.652,1518.326,759.163
Conv2d_2584672472464,14x14x256,1518.326,759.163,379.581
Conv2d_2584672472608,14x14x256,1518.326,759.163,379.581
Conv2d_2584672472272,14x14x256,1518.326,759.163,379.581
Conv2d_2584672472752,14x14x256,1518.326,759.163,379.581
Conv2d_2584672472896,14x14x256,1518.326,759.163,379.581
Conv2d_2584672473232,7x7x512,759.163,379.581,189.791
Conv2d_2584672473376,7x7x512,759.163,379.581,189.791
Conv2d_2584672473040,7x7x512,759.163,379.581,189.791
Conv2d_2584672473520,7x7x512,759.163,379.581,189.791
Conv2d_2584672473664,7x7x512,759.163,379.581,189.791
AdaptiveAvgPool2d_2584672473808,1x1x512,15.493,7.747,3.873
Linear_2584672473856,1x1x1000,30.26,15.13,7.565
TOTAL,-,81276.185,40638.093,20319.046
